the	các
rear	ở phía sau
democratic	dân chủ
enhance	nâng cao
switzerland	Thụy sĩ
exact	chính xác
bound	ràng buộc
parameter	tham số
adapter	bộ chuyển đổi
processor	bộ xử lý
node	nút
formal	chính thức
dimensions	kích thước
contribute	đóng góp
lock	khóa
hockey	khúc côn cầu
storm	bão
micro	vi mô
colleges	trường Cao đẳng
laptops	máy tính xách tay
mile	dặm
showed	cho thấy
challenges	thử thách
editors	biên tập viên
mens	đàn ông
threads	chủ đề
bowl	cái bát
supreme	tối cao
brothers	anh em
recognition	sự công nhận
presents	quà tặng
ref	giới thiệu
tank	xe tăng
submission	nộp hồ sơ
dolls	búp bê
estimate	ước lượng
encourage	khuyến khích
navy	Hải quân
kid	đứa trẻ
regulatory	quy định
inspection	điều tra
consumers	người tiêu dùng
cancel	Hủy bỏ
limits	Hạn mức
territory	lãnh thổ
transaction	giao dịch
weapons	vũ khí
paint	sơn
delay	trì hoãn
pilot	phi công
outlet	chỗ thoát
contributions	đóng góp
continuous	tiếp diễn
czech	Séc
resulting	kết quả
initiative	sáng kiến
novel	cuốn tiểu thuyết
pan	chảo
execution	chấp hành
disability	khuyết tật
increases	tăng
ultra	cực kỳ
winner	người chiến thắng
contractor	Nhà thầu
episode	tập phim
examination	bài kiểm tra
potter	thợ gốm
dish	món ăn
plays	vở kịch
bulletin	bản tin
pt	điểm
indicates	chỉ ra
modify	biến đổi
truly	thực sự
painting	bức vẽ
committed	tận tụy
extensive	rộng rãi
affordable	có thể chi trả
universe	vũ trụ
candidate	ứng viên
databases	cơ sở dữ liệu
patent	bằng sáng chế
slot	chỗ
outstanding	nổi bật
eating	Ăn
perspective	luật xa gần
planned	kế hoạch
watching	xem
lodge	lều
messenger	tin nhắn
mirror	gương
tournament	giải đấu
consideration	Sự xem xét
discounts	giảm giá
sterling	đồng bảng Anh
sessions	phiên
kernel	hạt nhân
boobs	ngực
stocks	cổ phiếu
buyers	người mua
journals	tạp chí
gray	xám
catalogue	mục lục
charged	tính phí
broad	rộng lớn
and	và
chosen	đã chọn
demo	thử nghiệm
greece	Hy Lạp
swiss	người Thụy Sĩ
labour	nhân công
hate	ghét
terminal	phần cuối
publishers	nhà xuất bản
nights	đêm
behalf	thay mặt
liquid	chất lỏng
rice	cơm
loop	vòng
salary	lương
reservation	sự đặt chỗ
foods	thực phẩm
gourmet	người sành ăn
guard	bảo vệ
properly	đúng cách
saving	tiết kiệm
remaining	còn lại
empire	đế chế
resume	bản tóm tắt
twenty	hai mươi
newly	mới
raise	nâng lên
prepare	chuẩn bị
avatar	hình đại diện
depending	tùy
illegal	bất hợp pháp
expansion	sự bành trướng
vary	thay đổi
hundreds	hàng trăm
helped	đã giúp
premier	thủ tướng
tomorrow	Ngày mai
purchased	đã mua
milk	sữa
decide	quyết định
consent	bằng lòng
drama	kịch
visiting	thăm viếng
performing	biểu diễn
downtown	trung tâm thành phố
keyboard	bàn phím
contest	cuộc thi
collected	đã thu thập
now	bây giờ
bands	ban nhạc
boot	khởi động
suitable	thích hợp
absolutely	tuyệt đối
millions	hàng triệu
lunch	bữa trưa
dildo	dương vật giả
audit	kiểm toán
push	xô
chamber	buồng
findings	phát hiện
muscle	cơ bắp
featuring	đặc trưng
iso	iso
implement	thực hiện
clicking	nhấp chuột
scheduled	lên kế hoạch
polls	cuộc thăm dò ý kiến
typical	đặc trưng
tower	tòa tháp
yours	của bạn
sum	Tổng
misc	linh tinh
calculator	máy tính
significantly	đáng kể
chicken	thịt gà
temporary	tạm thời
attend	tham gia
shower	vòi sen
sending	gửi
tonight	tối nay
dear	Thân mến
sufficient	hợp lý
holdem	nắm giữ
shell	vỏ bọc
province	tỉnh
oak	cây sồi
vat	thùng
awareness	nhận thức
vancouver	vancouver
governor	thống đốc
beer	bia
seemed	dường như
contribution	sự đóng góp
measurement	đo đạc
swimming	bơi lội
spyware	phần mềm gián điệp
formula	công thức
constitution	cấu tạo
packaging	bao bì
solar	mặt trời
catch	nắm lấy
reliable	đáng tin cậy
consultation	tư vấn
northwest	Tây Bắc
sir	quý ngài
doubt	nghi ngờ
earn	kiếm
finder	người tìm kiếm
unable	không thể
periods	Chu kỳ
classroom	lớp học
tasks	nhiệm vụ
democracy	nền dân chủ
attacks	tấn công
wallpaper	hình nền
merchandise	hàng hóa
const	hằng số
resistance	sức chống cự
doors	cửa ra vào
symptoms	triệu chứng
resorts	khu nghỉ dưỡng
biggest	To nhất
memorial	Đài kỷ niệm
visitor	khách thăm quan
twin	sinh đôi
forth	ra
insert	chèn
gateway	cửa ngõ
dont	đừng
alumni	cựu sinh viên
drawing	vẽ
candidates	ứng viên
ordered	ra lệnh
biological	sinh học
fighting	Chiến đấu
transition	chuyển tiếp
happens	xảy ra
preferences	sở thích
spy	gián điệp
romance	lãng mạn
instrument	dụng cụ
split	tách ra
themes	chủ đề
powers	quyền hạn
heaven	thiên đường
brother	anh
bits	chút ít
pregnant	có thai
twice	hai lần
classification	phân loại
focused	tập trung
physician	bác sĩ
bargain	mặc cả
cellular	di động
asking	hỏi
blocks	khối
normally	thông thường
spiritual	tinh thần
hunting	săn bắn
diabetes	bệnh tiểu đường
suit	bộ đồ
shift	sự thay đổi
res	độ phân giải
sit	ngồi
bodies	thi thể
photographs	bức ảnh
cutting	cắt
wow	Ồ
writers	nhà văn
marks	điểm
flexible	linh hoạt
loved	yêu
favourites	yêu thích
mapping	lập bản đồ
numerous	nhiều
relatively	tương đối
birds	chim
satisfaction	sự hài lòng
represents	đại diện
char	ký tự
indexed	được lập chỉ mục
superior	thượng đẳng
preferred	ưa thích
saved	đã lưu
paying	trả tiền
cartoon	hoạt hình
shots	bức ảnh
intellectual	trí tuệ
moore	neo đậu
granted	giả dụ như vậy
choices	sự lựa chọn
carbon	carbon
spending	chi tiêu
comfortable	thoải mái
magnetic	từ tính
interaction	sự tương tác
listening	lắng nghe
effectively	có hiệu quả
registry	sổ đăng ký
crisis	khủng hoảng
outlook	quan điểm
massive	to lớn
employed	có việc làm
bright	sáng
treat	đối xử
header	tiêu đề
poverty	nghèo
formed	hình thành
piano	đàn piano
echo	tiếng vọng
grid	lưới
sheets	tờ
experimental	thực nghiệm
revolution	cuộc cách mạng
consolidation	sự hợp nhất
displays	hiển thị
plasma	huyết tương
allowing	cho phép
earnings	thu nhập
mystery	bí ẩn
landscape	phong cảnh
dependent	sự phụ thuộc
mechanical	cơ khí
journey	hành trình
bidding	đấu thầu
consultants	nhà tư vấn
risks	rủi ro
banner	ngọn cờ
applicant	người xin việc
charter	điều lệ
fig	quả sung
cooperation	sự hợp tác
counties	quận
acquisition	sự mua lại
ports	cổng
implemented	thực hiện
directories	thư mục
recognized	được công nhận
dreams	những giấc mơ
blogger	người viết blog
notification	thông báo
kg	Kilôgam
licensing	cấp phép
stands	khán đài
teach	dạy bảo
occurred	xảy ra
textbooks	sách giáo khoa
rapid	nhanh
pull	sự lôi kéo
hairy	có lông
diversity	đa dạng
reverse	đảo ngược
deposit	tiền gửi
seminar	hội thảo
investments	đầu tư
wheels	bánh xe
specify	chỉ định
accessibility	khả năng tiếp cận
sensitive	nhạy cảm
templates	mẫu
formats	định dạng
tab	chuyển hướng
depends	phụ thuộc
boots	bốt
holds	nắm giữ
router	bộ định tuyến
concrete	bê tông
editing	chỉnh sửa
folder	thư mục
womens	phụ nữ
completion	hoàn thành
upload	tải lên
pulse	xung
universities	trường đại học
technique	kỹ thuật
contractors	nhà thầu
voting	bỏ phiếu
courts	tòa án
notices	thông báo
subscriptions	đăng ký
calculate	tính toán
broadcast	phát tin
converted	chuyển đổi
metro	tàu điện
anniversary	dịp kỉ niệm
improvements	cải tiến
strip	dải
specification	sự chỉ rõ
pearl	Ngọc trai
accident	tai nạn
nick	biệt danh
accessible	có thể truy cập
accessory	phụ kiện
resident	người dân
plot	kịch bản
qty	số lượng
possibly	có khả năng
airline	hãng hàng không
typically	tiêu biểu
representation	đại diện
regard	về
pump	bơm
exists	tồn tại
arrangements	sắp xếp
smooth	trơn tru
conferences	hội nghị
beastiality	thú tính
strike	đánh đập
consumption	sự tiêu thụ
birmingham	birmingham
flashing	nhấp nháy
narrow	chật hẹp
afternoon	buổi chiều
threat	mối đe dọa
surveys	khảo sát
sitting	ngồi
putting	đặt
consultant	tư vấn
controller	bộ điều khiển
ownership	quyền sở hữu
committees	ủy ban
penis	dương vật
legislative	lập pháp
researchers	Các nhà nghiên cứu
vietnam	Việt Nam
trailer	đoạn phim giới thiệu
castle	lâu đài
gardens	khu vườn
missed	bỏ lỡ
unsubscribe	hủy đăng ký
antique	đồ cổ
labels	nhãn
willing	sẵn sàng
bio	sinh học
molecular	phân tử
upskirt	vén váy
acting	diễn xuất
heads	cái đầu
stored	được lưu trữ
exam	bài thi
logos	logo
residence	nơi cư trú
attorneys	luật sư
milfs	những bà vợ
antiques	đồ cổ
density	Tỉ trọng
hundred	trăm
operators	toán tử
strange	lạ lùng
sustainable	bền vững
statistical	thống kê
beds	giường
breasts	ngực
mention	đề cập đến
innovation	sự đổi mới
pcs	chiếc
employers	người sử dụng lao động
grey	xám
parallel	song song
amended	sửa đổi
operate	vận hành
bills	hóa đơn
bold	in đậm
bathroom	phòng tắm
stable	ổn định
opera	opera
definitions	các định nghĩa
doctors	nhiêu bác sĩ
lesson	bài học
cinema	rạp chiếu phim
asset	tài sản
scan	quét
elections	cuộc bầu cử
drinking	uống rượu
blowjobs	thổi kèn
reaction	sự phản ứng lại
blank	trống
enhanced	nâng cao
entitled	được phép
severe	nghiêm trọng
generate	phát ra
stainless	không gỉ
newspapers	Báo
hospitals	bệnh viện
deluxe	sang trọng
humor	hài hước
aged	già
monitors	màn hình
exception	ngoại lệ
lived	đã sống
duration	khoảng thời gian
bulk	số lượng lớn
successfully	thành công
pursuant	theo
sci	khoa học
fabric	vải vóc
visits	thăm
primarily	chủ yếu
tight	chặt
domains	tên miền
capabilities	khả năng
pmid	chiều
contrast	sự tương phản
recommendation	sự giới thiệu
flying	bay
recruitment	tuyển dụng
sin	tội
cute	dễ thương
organized	được tổ chức
para	đoạn
siemens	siemens
adoption	nhận con nuôi
improving	nâng cao
expensive	đắt
meant	có nghĩa là
capture	chiếm lấy
pounds	bảng
buffalo	trâu
organisations	tổ chức
plane	máy bay
page	trang
explained	giải thích
seed	hạt giống
programmes	chương trình
desire	sự mong muốn
expertise	chuyên môn
mechanism	cơ chế
camping	cắm trại
jewellery	đồ kim hoàn
meets	gặp gỡ
welfare	phúc lợi
peer	ngang nhau
caught	bắt gặp
eventually	sau cùng
marked	đánh dấu
driven	điều khiển
measured	đo
medline	dòng thuốc
bottle	cái chai
agreements	thỏa thuận
considering	xem xét
innovative	đổi mới
marshall	cảnh sát trưởng
massage	mát xa
rubber	cao su
conclusion	Phần kết luận
closing	đóng cửa
thousand	nghìn
meat	thịt
legend	huyền thoại
grace	duyên dáng
python	trăn
monster	quái vật
villa	Biệt thự
bone	xương
columns	cột
disorders	rối loạn
bugs	lỗi
collaboration	sự hợp tác
detection	phát hiện
cookies	bánh quy
inner	bên trong
formation	sự hình thành
tutorial	hướng dẫn
med	thuốc
engineers	Kỹ sư
entity	thực thể
cruises	du lịch trên biển
gate	cổng
holder	người giữ
proposals	đề xuất
moderator	người điều hành
tutorials	hướng dẫn
settlement	giải quyết
portugal	Bồ Đào Nha
duties	nhiệm vụ
valuable	có giá trị lớn
erotic	khiêu dâm
tone	tấn
collectables	đồ sưu tầm
ethics	đạo đức
forever	mãi mãi
dragon	rồng
busy	bận
captain	đội trưởng
fantastic	tuyệt vời
imagine	tưởng tượng
brings	mang lại
heating	sưởi
leg	chân
neck	cổ
wing	cánh
governments	chính phủ
purchasing	thu mua
scripts	kịch bản
stereo	âm thanh nổi
appointed	bổ nhiệm
taste	nếm
dealing	xử lý
commit	làm
tiny	nhỏ xíu
operational	hoạt động
rail	đường sắt
airlines	hãng hàng không
liberal	tự do
livecam	máy quay trực tiếp
jay	chim giẻ cùi
trips	chuyến đi
gap	khoảng cách
sides	bên
tube	ống
turns	lần lượt
corresponding	tương ứng
descriptions	mô tả
cache	bộ nhớ đệm
belt	thắt lưng
jacket	áo khoác
determination	sự quyết tâm
animation	hoạt hình
oracle	lời tiên tri
lease	cho thuê
productions	sản phẩm
aviation	hàng không
hobbies	sở thích
proud	tự hào
excess	thặng dư
disaster	thảm họa
console	bảng điều khiển
commands	lệnh
telecommunications	viễn thông
instructor	người hướng dẫn
giant	người khổng lồ
achieved	đạt được
injuries	vết thương
shipped	đã vận chuyển
bestiality	thú tính
seats	chỗ ngồi
approaches	cách tiếp cận
biz	chuyện lớn
alarm	báo thức
voltage	Vôn
usual	thường
loading	đang tải
stamps	tem
appeared	đã xuất hiện
angle	góc
rob	cướp
vinyl	nhựa vinyl
highlights	điểm nổi bật
mining	khai thác mỏ
designers	nhà thiết kế
ongoing	đang diễn ra
worst	tồi tệ nhất
imaging	hình ảnh
betting	cá cược
scientists	các nhà khoa học
liberty	tự do
blackjack	bài xì dách
era	kỷ nguyên
convert	chuyển thành
possibility	khả năng
analyst	nhà phân tích
commissioner	ủy viên
dangerous	nguy hiểm
garage	ga-ra
exciting	thú vị
reliability	độ tin cậy
thongs	quần lót
unfortunately	Không may
respectively	tương ứng
volunteers	tình nguyện viên
attachment	tập tin đính kèm
ringtone	Nhạc chuông
derived	nguồn gốc
pleasure	vinh hạnh
honor	tôn kính
oriented	định hướng
eagle	chim ưng
desktops	máy tính để bàn
pants	quần dài
nurse	y tá
prayer	người cầu nguyện
appointment	cuộc hẹn
workshops	hội thảo
hurricane	bão
quiet	im lặng
luck	may mắn
postage	bưu phí
producer	nhà sản xuất
represented	đại diện
mortgages	thế chấp
dial	quay số
responsibilities	trách nhiệm
cheese	phô mai
comic	hài hước
carefully	cẩn thận
jet	máy bay phản lực
productivity	năng suất
investors	nhà đầu tư
crown	vương miện
par	ngang bằng
underground	bí mật
diagnosis	chẩn đoán
maker	người chế tạo
crack	nứt
principle	nguyên tắc
picks	lựa chọn
vacations	kỳ nghỉ
gang	băng nhóm
semester	học kỳ
calculated	tính toán
cumshot	xuất tinh
fetish	tôn sùng
applies	áp dụng
casinos	sòng bạc
appearance	vẻ bề ngoài
smoke	Khói
filters	bộ lọc
incorporated	hợp nhất
craft	thủ công
cake	bánh ngọt
notebooks	sổ ghi chép
apart	riêng biệt
fellow	đồng nghiệp
blind	mù
lounge	phòng chờ
mad	điên rồ
algorithm	thuật toán
semi	một nửa
coins	đồng xu
gross	tổng
strongly	mạnh mẽ
cafe	quán cà phê
valentine	lễ tình nhân
proteins	chất đạm
horror	kinh dị
exp	điểm kinh nghiệm
familiar	thân thuộc
capable	có khả năng
till	cho đến khi
involving	liên quan đến
pen	cái bút
investing	đầu tư
admission	nhận vào
shoe	giày
elected	bầu
carrying	chở
victory	chiến thắng
sand	cát
terrorism	khủng bố
joy	vui sướng
editions	ấn bản
mainly	chủ yếu
ethnic	dân tộc
ran	đã chạy
parliament	quốc hội
actor	diễn viên
finds	tìm thấy
seal	niêm phong
situations	tình huống
fifth	thứ năm
allocated	được phân bổ
citizen	công dân
vertical	thẳng đứng
corrections	đính chính
structural	cấu trúc
municipal	thành phố
describes	mô tả
prize	phần thưởng
occurs	xảy ra
absolute	tuyệt đối
disabilities	khuyết tật
consists	bao gồm
anytime	Bất cứ lúc nào
substance	chất
prohibited	Cấm
addressed	địa chỉ
lies	dối trá
pipe	đường ống
soldiers	lính
guardian	người giám hộ
lecture	bài học
simulation	mô phỏng
layout	cách trình bày
initiatives	khả năng phán đoán
ill	ốm
concentration	sự tập trung
classics	kinh điển
lay	đặt nằm
interpretation	diễn dịch
horses	ngựa
lol	cười
dirty	bẩn thỉu
deck	boong tàu
donate	quyên tặng
taught	dạy
bankruptcy	phá sản
worker	công nhân
optimization	tối ưu hóa
alive	còn sống
temple	ngôi đền
substances	vật liệu xây dựng
prove	chứng minh
discovered	đã phát hiện
wings	cánh
breaks	nghỉ giải lao
genetic	di truyền
restrictions	những hạn chế
participating	tham gia
waters	nhiều nước
promise	hứa
thin	gầy
exhibition	triển lãm
prefer	thích hơn
ridge	cây rơm
cabinet	tủ
modem modem
bringing	đưa
sick	đau ốm
dose	liều lượng
evaluate	đánh giá
tropical	nhiệt đới
collect	sưu tầm
bet	cá cược
composition	thành phần
streets	đường phố
nationwide	toàn quốc
definitely	chắc chắn
shaved	cạo
turning	quay
buffer	đệm
purple	màu tím
existence	sự tồn tại
commentary	bình luận
limousines	xe limousine
developments	sự phát triển
def	chắc chắn
immigration	nhập cư
destinations	điểm đến
lets	hãy
mutual	qua lại
pipeline	đường ống
necessarily	nhất thiết
syntax	cú pháp
attribute	thuộc tính
prison	nhà tù
skill	kỹ năng
chairs	Nhiều cái ghế
everyday	Hằng ngày
apparently	rõ ràng
surrounding	xung quanh
mountains	núi
moves	di chuyển
popularity	phổ biến
inquiry	cuộc điều tra
checked	đã kiểm tra
exhibit	triển lãm
throw	ném
trend	xu hướng
visible	dễ thấy
cats	những con mèo
desert	sa mạc
postposted	được đăng sau
oldest	lâu đời nhất
busty	ngực
coordinator	điều phối viên
obviously	rõ ràng
mercury	thủy ngân
handbook	sổ tay
navigate	điều hướng
worse	tệ hơn
summit	đỉnh cao
victims	nạn nhân
spaces	khoảng trống
fundamental	cơ bản
burning	đốt cháy
escape	bỏ trốn
coupons	phiếu giảm giá
somewhat	phần nào
receiver	người nhận
substantial	đáng kể
progressive	cấp tiến
boats	thuyền
glance	liếc nhìn
championship	chức vô địch
arcade	giải trí
sacramento	bí tích
impossible	không thể nào
tells	kể
obvious	rõ ràng
fiber	chất xơ
depression	trầm cảm
graph	đồ thị
covering	che phủ
platinum	bạch kim
judgment	sự phán xét
bedrooms	phòng ngủ
talks	cuộc nói chuyện
filing	nộp hồ sơ
foster	nuôi dưỡng
modeling	người mẫu
passing	đi qua
awarded	Trao giải thưởng
testimonials	lời chứng thực
trials	thử nghiệm
tissue	mô
memorabilia	kỷ vật
masters	bậc thầy
bonds	trái phiếu
cartridge	hộp đạn
explanation	giải trình
folk	dân gian
org	tổ chức
commons	tài sản chung
subsection	tiểu mục
fraud	gian lận
electricity	điện
permitted	được phép
spectrum	quang phổ
arrival	đến
okay	được rồi
pottery	đồ gốm
emphasis	sự nhấn mạnh
roger	roger
aspect	diện mạo
workplace	nơi làm việc
awesome	tuyệt vời
confirmed	đã xác nhận
counts	đếm
priced	có giá
wallpapers	hình nền
hist	lịch sử
crash	tai nạn
lift	thang máy
desired	mong muốn
inter	chôn cất
closer	gần hơn
assumes	giả định
heights	độ cao
shadow	bóng tối
riding	cưỡi
infection	sự nhiễm trùng
expense	chi phí
grove	khu rừng
eligibility	đủ điều kiện
venture	mạo hiểm
clinic	phòng khám
healing	đang lành lại
princess	công chúa
mall	trung tâm mua sắm
entering	đi vào
packet	gói
spray	Xịt nước
studios	studio
involvement	sự tham gia
dad	bố
buttons	nút
placement	vị trí
observations	quan sát
vbulletin	bản tin
funded	được tài trợ
winners	người chiến thắng
extend	mở rộng
roads	đường
subsequent	tiếp theo
pat	vỗ về
rolling	lăn
fell	rơi
motorcycle	xe máy
yard	sân
disclosure	tiết lộ
establishment	thành lập
memories	ký ức
arrived	tới nơi
creates	tạo ra
faces	khuôn mặt
tourist	du khách
cocks	gà trống
mayor	thị trưởng
murder	giết người
adequate	đủ
senator	thượng nghị sĩ
yield	năng suất
presentations	thuyết trình
grades	điểm
cartoons	phim hoạt hình
pour	đổ
digest	tiêu
reg	đăng ký
lodging	chỗ ở
tion	sự
dust	bụi
hence	kể từ đây
entirely	toàn bộ
replaced	thay thế
radar	rađa
rescue	giải thoát
undergraduate	đại học
losses	lỗ vốn
combat	chiến đấu
reducing	giảm bớt
stopped	dừng lại
occupation	nghề nghiệp
lakes	hồ
butt	mông
donations	Quyên góp
associations	hiệp hội
citysearch	tìm kiếm thành phố
closely	chặt chẽ
radiation	sự bức xạ
diary	Nhật ký
seriously	nghiêm túc
kings	các vị vua
shooting	chụp
adds	thêm vào
ear	tai
flags	cờ
baker	thợ làm bánh
launched	ra mắt
elsewhere	nơi khác
pollution	sự ô nhiễm
conservative	thận trọng
guestbook	sổ lưu bút
shock	sốc
effectiveness	hiệu quả
walls	bức tường
abroad	ở nước ngoài
ebony	gỗ mun
tie	cà vạt
ward	phường
drawn	vẽ
visited	đã đến thăm
roof	mái nhà
walker	khung tập đi
demonstrate	chứng minh
atmosphere	bầu không khí
suggests	gợi ý
kiss	hôn
beast	quái thú
operated	vận hành
experiment	cuộc thí nghiệm
targets	mục tiêu
overseas	Hải ngoại
purchases	mua hàng
dodge	né tránh
counsel	lời khuyên
federation	liên đoàn
invited	được mời
yards	bãi
assignment	phân công
chemicals	hóa chất
farmers	nông dân
queries	truy vấn
rush	cây bấc
absence	vắng mặt
nearest	gần nhất
cluster	cụm
vendors	nhà cung cấp
mpeg	mpeg
whereas	trong khi
serves	phục vụ
woods	gỗ
surprise	sự ngạc nhiên
lamp	đèn
partial	một phần
shoppers	người mua sắm
everybody	mọi người
couples	cặp đôi
ranking	xếp hạng
jokes	truyện cười
ceo	CEO
sublime	tuyệt vời
counseling	tư vấn
palace	cung điện
acceptable	chấp nhận được
satisfied	thỏa mãn
glad	vui mừng
wins	thắng
measurements	đo
verify	xác minh
globe	khối cầu
trusted	đáng tin cậy
copper	đồng
rack	giá đỡ
medication	thuốc
warehouse	kho
shareware	phần mềm chia sẻ
rep	trả lời
dicke	cu
receipt	biên lai
supposed	giả sử
ordinary	bình thường
nobody	không ai
ghost	bóng ma
violation	sự vi phạm
configure	cấu hình
stability	sự ổn định
mit	găng tay
applying	áp dụng
southwest	tây nam
boss	ông chủ
pride	kiêu hãnh
institutional	thể chế
expectations	mong đợi
independence	Sự độc lập
knowing	biết
reporter	phóng viên
metabolism	sự trao đổi chất
keith	keith
champion	quán quân
cloudy	nhiều mây
linda	Linda
ross	màu hồng
personally	cá nhân
chile	ớt
anna	anna
plenty	nhiều
solo	đấu
sentence	câu
throat	họng
ignore	phớt lờ
uniform	đồng phục
excellence	xuất sắc
wealth	sự giàu có
tall	cao
somewhere	một vài nơi
vacuum	máy hút bụi
dancing	khiêu vũ
attributes	thuộc tính
recognize	nhận ra
brass	thau
writes	viết
plaza	quảng trường
outcomes	kết quả
survival	sống sót
quest	nhiệm vụ
publish	công bố
screening	sàng lọc
toe	ngón chân
thumbnail	hình nhỏ
trans	Dịch
whenever	bất cứ khi nào
nova	tân tinh
lifetime	cả đời
pioneer	người tiên phong
booty	chiến lợi phẩm
forgotten	bị lãng quên
acrobat	diễn viên xiếc
plates	tấm
acres	đất cày cấy
venue	địa điểm
athletic	Khỏe mạnh
thermal	nhiệt
essays	tiểu luận
behaviour	hành vi
vital	thiết yếu
telling	nói
fairly	công bằng
coastal	duyên hải
config	cấu hình
charity	tổ chức từ thiện
intelligent	thông minh
excel	vượt trội
modes	chế độ
obligation	nghĩa vụ
wake	thức dậy
stupid	ngốc nghếch
harbor	Hải cảng
traveler	du khách
segment	bộ phận
realize	nhận ra
regardless	bất kể
enemy	kẻ thù
puzzle	câu đố
rising	trỗi dậy
aluminum	nhôm
wells	giếng
wishlist	danh sách mong muốn
opens	mở ra
insight	cái nhìn thấu suốt
sms	tin nhắn
shit	Chết tiệt
restricted	hạn chế
republican	người theo chủ nghĩa cộng hòa
secrets	bí mật
lucky	may mắn
latter	sau này
merchants	thương gia
thick	dày
trailers	xe kéo
repeat	lặp lại
syndrome	hội chứng
attendance	sự tham dự
penalty	hình phạt
drum	cái trống
glasses	kính
enables	cho phép
nec	không cần
iraqi	người Iraq
builder	người xây dựng
vista	tầm nhìn
chips	khoai tây chiên
terry	vải bông
flood	lụt
photo	bức ảnh
ease	xoa dịu
arguments	tranh luận
orgy	thác loạn
arena	đấu trường
adventures	cuộc phiêu lưu
pupils	học sinh
stewart	người quản lý
announcement	thông báo
outcome	kết quả
appreciate	đánh giá
expanded	mở rộng
casual	bình thường
grown	tăng
polish	đánh bóng
lovely	đáng yêu
extras	tính năng bổ sung
centres	trung tâm
clause	điều khoản
smile	nụ cười
lands	vùng đất
troops	quân đội
indoor	trong nhà
armed	vũ trang
broker	người môi giới
charger	sạc
regularly	thường xuyên
believed	tin
pine	cây thông
cooling	làm mát
tend	có khuynh hướng
gulf	Vịnh
rick	đụn rơm
trucks	xe tải
mechanisms	cơ chế
divorce	ly hôn
shopper	người mua sắm
partly	từng phần
customize	tùy chỉnh
tradition	truyền thống
candy	kẹo
pills	thuốc
tiger	con hổ
folks	mọi người
sensor	cảm biến
exposed	để lộ ra
telecom	viễn thông
hunt	săn bắn
angels	thiên thần
deputy	phó
indicators	chỉ số
sealed	niêm phong
thai	người Thái
emissions	khí thải
physicians	bác sĩ
loaded	nạp vào
complaint	lời phàn nàn
scenes	cảnh
experiments	thí nghiệm
balls	những quả bóng
boost	tăng
spanking	đánh đòn
scholarship	học bổng
governance	quản trị
mill	cối xay
founded	thành lập
supplements	chất bổ sung
chronic	mãn tính
icons	biểu tượng
tranny	chuyển giới
moral	có đạo đức
den	cái hang
catering	phục vụ ăn uống
aud	kiểm toán
finger	ngón tay
keeps	giữ
pound	pao
locate	định vị
camcorder	máy quay phim
please	làm ơn
trained	đào tạo
burn	đốt cháy
implementing	thực thi
roses	hoa hồng
labs	phòng thí nghiệm
ourselves	chính chúng ta
bread	bánh mỳ
tobacco	thuốc lá
wooden	bằng gỗ
motors	động cơ
tough	khó
incident	sự cố
gonna	sẽ
dynamics	động lực học
lie	nói dối
conversation	cuộc hội thoại
decrease	giảm bớt
cumshots	bắn tinh
chest	ngực
pension	lương hưu
revenues	doanh thu
emerging	mới nổi
worship	tôn thờ
bukkake	nhiều người
capability	khả năng
herself	chính cô ấy
producing	sản xuất
churches	nhà thờ
precision	độ chính xác
damages	thiệt hại
reserves	dự trữ
contributed	đóng góp
solve	gỡ rối
shorts	quần short
reproduction	sinh sản
minority	thiểu số
diverse	phong phú
ingredients	thành phần
sole	Duy Nhất
franchise	nhượng quyền thương mại
recorder	máy ghi âm
complaints	phàn nàn
facing	đối mặt
promotions	khuyến mãi
tones	âm
passion	niềm đam mê
rehabilitation	phục hồi chức năng
maintaining	duy trì
sight	thị giác
laid	đặt
clay	đất sét
defence	phòng thủ
patches	bản vá lỗi
weak	yếu đuối
refund	đền bù
towns	thị trấn
environments	môi trường
trembl	run rẩy
divided	đã chia ra
reception	thu nhận
wise	khôn ngoan
emails	email
cyprus	Síp
odds	tỷ lệ cược
correctly	chính xác
insider	người trong cuộc
seminars	hội thảo
consequences	hậu quả
makers	nhà sản xuất
hearts	trái tim
geography	địa lý
appearing	xuất hiện
integrity	chính trực
worry	lo lắng
discrimination	phân biệt
eve	đêm
carter	người vận chuyển
legacy	di sản
pleased	vừa lòng
danger	sự nguy hiểm
vitamin	vitamin
widely	rộng rãi
processed	xử lý
phrase	cụm từ
genuine	thành thật
raising	nâng cao
implications	hàm ý
functionality	chức năng
paradise	thiên đường
hybrid	hỗn hợp
reads	đọc
roles	vai trò
intermediate	trung cấp
emotional	xúc động
sons	con trai
leaf	lá cây
pad	tập giấy
glory	vinh quang
platforms	nền tảng
bigger	to hơn
billing	thanh toán
diesel	dầu diesel
versus	đấu với
combine	kết hợp
overnight	qua đêm
geographic	Địa lý
exceed	quá
rod	gậy
fault	lỗi
cuba	cuba
hours	giờ
preliminary	sơ bộ
districts	huyện
introduce	giới thiệu
silk	lụa
promotional	khuyến mãi
babies	đứa trẻ
compiled	biên soạn
romantic	lãng mạn
revealed	tiết lộ
specialists	chuyên gia
generator	máy phát điện
examine	nghiên cứu
suspension	đình chỉ
margaret	bơ thực vật
sad	buồn
correction	điều chỉnh
wolf	chó sói
slowly	chậm
authentication	xác thực
communicate	giao tiếp
rugby	bóng bầu dục
